Username,Rating,Date,Review,Reply,Reply_Date
tarique bagwan,5,1 April 2025,excellent,N/A,N/A
Diamond Glass,5,1 April 2025,nice,N/A,N/A
situbishnoi 07,5,1 April 2025,good 👍,N/A,N/A
Vipul yadav,5,1 April 2025,very good app with 100% accuracy,N/A,N/A
Ananta Gopal giri,5,1 April 2025,nice,N/A,N/A
paras saini,5,1 April 2025,thanks to carinfo,N/A,N/A
Chetan Salunkhe,5,1 April 2025,Good app,N/A,N/A
Mr Dev,5,1 April 2025,nice,N/A,N/A
S.logesh Kumar,5,1 April 2025,awesome,N/A,N/A
Pintu Kumar,5,1 April 2025,good,N/A,N/A
Pardeep Saini,5,1 April 2025,it's show accurate status of vehicle,N/A,N/A
Yousuf Ali,3,1 April 2025,so cute 🥰,N/A,N/A
ram ranmale,5,1 April 2025,amazing app,N/A,N/A
Rajasekar Mariappan,5,1 April 2025,excellent,N/A,N/A
BOSS MASS,5,1 April 2025,nice அப்போ,N/A,N/A
Anuradha Chittora,5,1 April 2025,it gives accurate car information. Nice app 👍👍,N/A,N/A
sayam koli,5,1 April 2025,very good information,N/A,N/A
arun mr,4,1 April 2025,good,N/A,N/A
YashParihar,5,1 April 2025,good,N/A,N/A
mohan raj,1,1 April 2025,the app is not showing updated ownership and insurance details of a vehicle.the app is not sync with parivahan data at all times.waste,N/A,N/A
pranali shinde,5,1 April 2025,nice,N/A,N/A
MEESAIRAAJESH NAINAAR,5,1 April 2025,nice,N/A,N/A
Bhavdeep Pokar,5,1 April 2025,good application,N/A,N/A
Dilawarsinh Mori,1,1 April 2025,Bakvash,N/A,N/A
AYAN Mallick,5,1 April 2025,good 👍 information app,N/A,N/A
Kunal Khare78,4,1 April 2025,nice,N/A,N/A
Dinesh Gujjar,5,1 April 2025,best apps,N/A,N/A
Adarsh Kumar,5,1 April 2025,excellent,N/A,N/A
Amir Kathat,4,1 April 2025,Good,N/A,N/A
sunil patro,5,1 April 2025,good,N/A,N/A
Piyush Pawar,5,1 April 2025,very nice app and important app,N/A,N/A
Akash Tiwari,5,1 April 2025,GOOD APP,N/A,N/A
Kaizen Choudhury,3,1 April 2025,Average,N/A,N/A
Prince Shukla,5,1 April 2025,that's nice app,N/A,N/A
Bijen Khundrakpam,5,1 April 2025,very quick information,N/A,N/A
Lalbiaksanga Ralte,5,1 April 2025,Useful apps love it,N/A,N/A
Rakibur Rahman,5,1 April 2025,superb app👍,N/A,N/A
Ssathiya Sathya,4,1 April 2025,good,N/A,N/A
Maa Laxmi,4,1 April 2025,nice,N/A,N/A
Pmy India,5,1 April 2025,good app,N/A,N/A
Shreyas Singh chandel,5,1 April 2025,very poor car information,N/A,N/A
A.S. Jacob,1,1 April 2025,Unable to see and zoom the picture of the challan.,N/A,N/A
Wasim Bhati,5,1 April 2025,best,N/A,N/A
