Username,Rating,Date,Review,Reply,Reply Date,Usefulness
rajesh kumar,3,4 April 2025,"Waste of time and money, All fake, just waste of money and time",Gyani - Made in India for India,5 April 2025,"('N/A', 'N/A')"
Nithin Gowda,1,4 April 2025,it will hang lot mobile is not working properly while using this app this app loot money without any mistake,Gyani - Made in India for India,5 April 2025,"('N/A', 'N/A')"
Dadepogu JOSH,1,4 April 2025,it's very worst app ..........very laggggapppppp waste of moooore money don't install it........ waste worst......,Gyani - Made in India for India,5 April 2025,"('N/A', 'N/A')"
Joerex AJITH,1,4 April 2025,don't waste time,Gyani - Made in India for India,5 April 2025,"('N/A', 'N/A')"
Sanskar Pathak,5,4 April 2025,"Here's a 5-line review: *5/5 stars* ""Amazing app! Dostt has made my daily tasks so much easier. The user interface is intuitive and clean. Reliable and efficient logistics services. Great job, Dostt team!""",N/A,N/A,"('N/A', 'N/A')"
Maulik Nai,5,4 April 2025,Nice,N/A,N/A,"('N/A', 'N/A')"
Ravish Salmani,1,3 April 2025,is very very chif app don't invest money no fake app really volger ap nudety girls . please don't download please i humbl request please🥹🥹,Gyani - Made in India for India,4 April 2025,"('N/A', 'N/A')"
funny wtapp status,1,3 April 2025,fake all and west offf money,Gyani - Made in India for India,4 April 2025,"('N/A', 'N/A')"
Anjana,5,3 April 2025,easyable withdraw option good app good benefits,N/A,N/A,"('N/A', 'N/A')"
Mastanvali Shaik,1,3 April 2025,not replying and too much background noise. just eating the money without any thing. won't suggest to use it,Gyani - Made in India for India,3 April 2025,"('N/A', 'N/A')"
Batman,1,3 April 2025,account suspended i have some coins left in my wallet and I tried to contact with customer support no response from 10 days.,Gyani - Made in India for India,3 April 2025,"('N/A', 'N/A')"
Uvi Mona,5,3 April 2025,just now i spoken aishu82 it's an nice experience rally good genuine talk ......,N/A,N/A,"('N/A', 'N/A')"
Vrindhamol1922 Vrindha,5,3 April 2025,nice ✨,N/A,N/A,"('N/A', 'N/A')"
Chhaya Prajapati,5,3 April 2025,This app is very fentastic. I like very much this app. It is very safely.,N/A,N/A,"('N/A', 'N/A')"
Kumar K,1,3 April 2025,my coins are missing the call is connecting automatically in background and the coins are spending it's a scam don't install this fake app I lost almost 2500 coins worst app,Gyani - Made in India for India,8 January 2025,"('N/A', 'N/A')"
A P Patel,5,3 April 2025,this is so good and useful and so good people are use this app and connect with me really good conversation end time spend I am so happy this app in my life so useful app for womens and students girls four earning talking and earn the real money my time is worth this app and I am monthly on good money weekly meetings support systems are so good safe for womens and users so please download this app and US good conversation good friends and enjoy 😊😊😊😊😊😊😊😊😊😊😊,N/A,N/A,"('N/A', 'N/A')"
Kartik Khadatkar,1,3 April 2025,voice is so glitch and she's very late reply very low connection,Gyani - Made in India for India,3 April 2025,"('N/A', 'N/A')"
Ok Iqbal,1,3 April 2025,fake app total cash poyi fake app,Gyani - Made in India for India,3 April 2025,"('N/A', 'N/A')"
Suman Allakonda,1,3 April 2025,it is worrest app first app is better but now this app frequently not connected to the people,Gyani - Made in India for India,3 April 2025,"('N/A', 'N/A')"
Jesi Alice Mary,5,3 April 2025,its help me for my life,N/A,N/A,"('N/A', 'N/A')"
Durgesh Yadav,3,2 April 2025,good 💯,Gyani - Made in India for India,3 April 2025,"('N/A', 'N/A')"
Tamilan THEN,3,2 April 2025,app is very slowly and hanging... many times ub normal in use very slow and hanging,Gyani - Made in India for India,3 April 2025,"('N/A', 'N/A')"
Im Sheshu,1,2 April 2025,worst app to much laag,Gyani - Made in India for India,3 April 2025,"('N/A', 'N/A')"
Vivek KP,5,2 April 2025,this app is a very good app. Helped me to make more friends. Everyone should try this a very good black so for making friends,N/A,N/A,"('N/A', 'N/A')"
Krishna Shukla,1,2 April 2025,it's a scam,Gyani - Made in India for India,3 April 2025,1 person found this review helpful
Sachin Bahuguna,1,2 April 2025,"It's a very bad app, a very poor service app. Totally local.",Gyani - Made in India for India,3 April 2025,1 person found this review helpful
Preethy vp,5,2 April 2025,good,N/A,N/A,"('N/A', 'N/A')"
Shintoks Ks,4,2 April 2025,can't open,N/A,N/A,"('N/A', 'N/A')"
Neo Pinky,5,2 April 2025,where is safe and explain app but some sexual offence also coming in this app please check it thank you for giving this opportunity for us,N/A,N/A,"('N/A', 'N/A')"
Nagadevi Gottimukkala,5,2 April 2025,really safe and secure money earning App thank you dost chang my life,N/A,N/A,"('N/A', 'N/A')"
Raveena S,5,2 April 2025,nice to use,N/A,N/A,"('N/A', 'N/A')"
Kanika Anand,5,2 April 2025,excellent,N/A,N/A,"('N/A', 'N/A')"
Pooja Ritesh,3,2 April 2025,I'm new will see,Gyani - Made in India for India,3 April 2025,"('N/A', 'N/A')"
Niranju Kutty24,2,2 April 2025,Pls continue all call,Gyani - Made in India for India,3 April 2025,"('N/A', 'N/A')"
MMP MTX,1,2 April 2025,UI is very lag. sometimes even in a good network it will take some moments to load the call and the time will be calculated at the same mean time also when we end call it may take some moment to stop the watch. now you caught all my coins even when I close the app very poor,Gyani - Made in India for India,2 April 2025,1 person found this review helpful
Munaganuri Krishna,1,2 April 2025,not working west the money,Gyani - Made in India for India,2 April 2025,1 person found this review helpful
Aftar Mallick,1,1 April 2025,Dost app is very bad app don't download guys 😡😡😡,Gyani - Made in India for India,2 April 2025,"('N/A', 'N/A')"
Sudee Sudee,1,1 April 2025,Time waste money waste don't install the don't waste the money,Gyani - Made in India for India,2 April 2025,"('N/A', 'N/A')"
sri manikanta Thota,1,1 April 2025,they are here to loot ur money don't trsut this app before subscription they show all are available after subscription it will show unavailable,Gyani - Made in India for India,2 April 2025,"('N/A', 'N/A')"
Adnan Khan,1,1 April 2025,"Worst App , don't install this app and don't buy coins on this App it's a fake app waste of money",Gyani - Made in India for India,2 April 2025,"('N/A', 'N/A')"
Asad Iqbal,5,1 April 2025,amazing and it is one of the best app*,N/A,N/A,"('N/A', 'N/A')"
Vandna Singh,5,1 April 2025,good app,N/A,N/A,"('N/A', 'N/A')"
FIRE Crown 1,5,1 April 2025,this is very nice app for teenagers and many more so I concern that app is very good 👍 *,N/A,N/A,"('N/A', 'N/A')"
Rohit Kumar,4,1 April 2025,I like app instant withdraw*,N/A,N/A,"('N/A', 'N/A')"
Baldev Singh,5,1 April 2025,this app is very awesome very interesting,N/A,N/A,"('N/A', 'N/A')"
Arun Kumar,2,1 April 2025,Application error and call dropping while talking,Gyani - Made in India for India,2 April 2025,"('N/A', 'N/A')"
MD shakir,5,1 April 2025,warld is best app**,N/A,N/A,"('N/A', 'N/A')"
Roman Raza,5,1 April 2025,nice app awesome*,N/A,N/A,"('N/A', 'N/A')"
