Username,Rating,Date,Review,Reply,Reply Date,Usefulness
Krishnan N,5,9 April 2025,Best India's No.1 Short Videos App Is Josh Only. Updated 2025 Josh App Is Very Nice. Latest app use for upload short reels editing best.,Josh Team,9 April 2025,193 people found this review helpful
Sgji Shgu,1,9 April 2025,Hi Shivam Jatva,Josh Team,9 April 2025,"('N/A', 'N/A')"
Jaydeep Parmar,5,8 April 2025,🔥,Josh Team,9 April 2025,"('N/A', 'N/A')"
Sargodha eagle,5,8 April 2025,very nice app,Josh Team,8 April 2025,"('N/A', 'N/A')"
Rajesh S Gajera (R s Gajera),5,8 April 2025,Good,Josh Team,8 April 2025,"('N/A', 'N/A')"
vineethann mathew,5,7 April 2025,Highly recommend..... My special App... where I get my own space of happiness to share,Josh Team,8 April 2025,"('N/A', 'N/A')"
D!rex Zone,5,7 April 2025,great day 💯👍😊,Josh Team,7 April 2025,"('N/A', 'N/A')"
Sk Kamal uddin,5,6 April 2025,good,Josh Team,7 April 2025,"('N/A', 'N/A')"
Geetaanand Raj,5,6 April 2025,good,Josh Team,7 April 2025,"('N/A', 'N/A')"
Deepak Kumar,5,6 April 2025,nice apps for shorts video,Josh Team,6 April 2025,"('N/A', 'N/A')"
Ayan Khan,5,6 April 2025,josh aap is india most beautiful place jis per aap ko video pera din badya kar dati ha,Josh Team,6 April 2025,"('N/A', 'N/A')"
Ujjawal Mishra,1,5 April 2025,very bad experience my in this app,Josh Team,6 April 2025,"('N/A', 'N/A')"
Review Form,5,5 April 2025,need to improve UI and give to best analytical tool for creator like youtube,Josh Team,6 April 2025,2 people found this review helpful
SHERSINGH Sagar,5,5 April 2025,good,Josh Team,6 April 2025,"('N/A', 'N/A')"
Apache Rr310,5,4 April 2025,💯,Josh Team,5 April 2025,"('N/A', 'N/A')"
Sreekanth Pillanagrovila,4,4 April 2025,Problem uploading in videos. Can't see total videos views and likes.,Josh Team,5 April 2025,53 people found this review helpful
Veer Garg,5,4 April 2025,Excellent,Josh Team,4 April 2025,"('N/A', 'N/A')"
Amit Mahato,4,3 April 2025,nice,Josh Team,4 April 2025,"('N/A', 'N/A')"
Sanjay Ghatuary,2,3 April 2025,good,Josh Team,3 April 2025,"('N/A', 'N/A')"
Bhanwar singh,5,2 April 2025,good,Josh Team,2 April 2025,"('N/A', 'N/A')"
Mahakaal Deep (Kaal),5,2 April 2025,Best App,Josh Team,2 April 2025,"('N/A', 'N/A')"
Tayyab Shaikh,5,2 April 2025,best,Josh Team,2 April 2025,"('N/A', 'N/A')"
Rajesh,5,1 April 2025,good,Josh Team,2 April 2025,"('N/A', 'N/A')"
Anil Singh,1,1 April 2025,How much you increase jems earning difficulties worst system and your data consumption is very high 😔 and when will be the dimond withdrawal problem fixe. my profile is @hentaistar please fix 😔 the problem fast.,Josh Team,2 April 2025,81 people found this review helpful
V I P Krishna Rajput,5,1 April 2025,op hai app,Josh Team,1 April 2025,"('N/A', 'N/A')"
Meet Chauhan,5,1 April 2025,fellowsh dl,Josh Team,1 April 2025,"('N/A', 'N/A')"
Sri mukthananda Swamy,5,1 April 2025,ಉತ್ತಮವಾದ ಆಪ್,Josh Team,1 April 2025,"('N/A', 'N/A')"
