Username,Rating,Date,Review,Reply,Reply Date,Usefulness
Rohin Nair,1,19 March 2025,not even have service in urban areas,N/A,N/A,"('N/A', 'N/A')"
Digvijay Patil,1,19 March 2025,not deliverable pincode??? why do you do business in india??,N/A,N/A,"('N/A', 'N/A')"
javed nahvi,5,6 March 2025,I booked one bsnl sim through this app. The sim was delivered very promptly and the staff present at customer care service made it sure that the services are on. Thanks all.,N/A,N/A,"('N/A', 'N/A')"
Pushpendra Pal,5,5 March 2025,"Great service, ordered port sim service and received port sim the same day. And process porting requests on the same day.",Prune DCS,3 March 2025,"('N/A', 'N/A')"
Mahesh Kashyap,4,4 March 2025,Very Bad service 😔,N/A,N/A,"('N/A', 'N/A')"
prosanjit mondal,5,28 February 2025,"SIM not delivered after 5 days of waiting, no response on Support ticket either. Finally the SIM got delivered now. Thank you!",N/A,N/A,"('N/A', 'N/A')"
Abhishek Kumar yadav,4,27 February 2025,Order was late due to issues from operator side but need more to improve in customer support team. Overall service was good.,N/A,N/A,"('N/A', 'N/A')"
पारस दुआ,5,27 February 2025,Good service and fast delivery,N/A,N/A,"('N/A', 'N/A')"
Rabbi Rooh,1,25 February 2025,Pathetic app if I don't allow permission it's not working,N/A,N/A,"('N/A', 'N/A')"
SATISH CHANDRA JAISWAR,1,20 February 2025,"Why you need so many access? U r the only sim provider, please away from this type of app, which access ur data",N/A,N/A,"('N/A', 'N/A')"
Kumar Sajal,1,16 February 2025,First of all this app demands all sorts of permissions including usage access for I don't know what! Then this app doesn't work without account creation. And then you discover that the delivery address is unserviceable even after living just 10km from its head office. Total scam app!!,N/A,N/A,2 people found this review helpful
Govind Kumar ram,5,8 February 2025,Best app,N/A,N/A,"('N/A', 'N/A')"
Lalit Goswami,1,7 February 2025,Very bad services don't download and dont buy any services,Prune DCS,14 February 2025,1 person found this review helpful
Sumant Chaurasia,1,30 January 2025,The one star is itself not worthy to give. The service is pathetic and don't prepay the orders even if you do as orders aren't updated. It would be your luck if it the order is completed.,Prune DCS,31 January 2025,2 people found this review helpful
Tejas Chaudhari,1,24 January 2025,Unable to register,Prune DCS,27 January 2025,"('N/A', 'N/A')"
AYUSH V,1,20 January 2025,Redeem not can use very fake app,Prune DCS,27 January 2025,"('N/A', 'N/A')"
Mufiz Ansari,1,10 January 2025,Service not available,Prune DCS,15 January 2025,"('N/A', 'N/A')"
Abhimanyu Bind,1,9 January 2025,"it's not opening on my device, reasons are unknown.",Prune DCS,27 January 2025,"('N/A', 'N/A')"
Anu Singh,1,9 January 2025,Worst app I ordered a sim in November port to BSNL . It is not activated yet (50 days). They are not picking up phone.. its fraud. This is worst thing I am facing from such app.,Prune DCS,15 January 2025,"('N/A', 'N/A')"
A n k i T,5,20 December 2024,"Great service! Ordered a new SIM and received it the next day since the order was placed after 6 PM. Otherwise, it would have been delivered the same day. The verification process was smooth, taking less than 10 minutes, and the SIM was activated within 2 days with respective data pack.",N/A,N/A,2 people found this review helpful
Amit Mandoliya,5,5 December 2024,Fast Delivery,N/A,N/A,"('N/A', 'N/A')"
Muktadir Hussain Mazumder,1,5 December 2024,Bangalore Karnataka not available any Delivery sim,Prune DCS,5 December 2024,"('N/A', 'N/A')"
Neeraj joshi,1,4 December 2024,I port my sim card. Sim was delivered on time but they did FRC very late even I request them multiple times. After delivery the even not pic my phone. I told them to my urgency and request them for sim card requires but they stop picking my phone and I text them that it is urgent but no reply. I write complain to Telicom company than they recharge my number They are fraud,Prune DCS,5 December 2024,1 person found this review helpful
Harsh Kumar Singh,5,4 December 2024,Well Thanks for delivery BSNL sim to my house although you took more than a week but I understands it was peak rush time,Prune DCS,4 December 2024,12 people found this review helpful
Ram Kumar,5,4 December 2024,फास्टेस्ट देलववर्य,N/A,N/A,"('N/A', 'N/A')"
