Username,Rating,Date,Review,Reply,Reply Date,Usefulness
INDRESH PANDEY,5,12 April 2025,excellent,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,12 April 2025,"('N/A', 'N/A')"
PREMCHAND GIRI,5,12 April 2025,good 👍,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",12 April 2025,"('N/A', 'N/A')"
Rabi san Chakma,3,12 April 2025,nice app,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",12 April 2025,"('N/A', 'N/A')"
Junaid Alam,3,12 April 2025,good 💯,"We extend our gratitude for reviewing us. However, we do understand that there is room for improvement to achieve a 5-star from you. We look forward to hearing from you via mail addressed to swiggysocial@swiggy.in from your registered email address.",12 April 2025,"('N/A', 'N/A')"
Anunaidu Gudivaka,1,11 April 2025,worest experience I ordered food from hai hotel from Eluru.I received food the food was very salty unable to eat. then iwas compained to the Swiggy please replace the food I was decided to replace the item but Swiggy don't respond finally the gave 16 rupees for 390rs item. waste of money waste of time. waste food I never ordered food from swiggy,We're disappointed to know the service has not been to your satisfaction. Kindly write to us at swiggysocial@swiggy.in from your registered email address and we'll have this addressed,11 April 2025,"('N/A', 'N/A')"
Ajay Patidar,1,11 April 2025,can't give Zero star else would have been given Zero. the delivery app doesn't even bother to deliver right food to the customer and when spilled food come they juat say we didn't said you to order. don't install they are cheaters 😒 no responsibility what so ever for spikled food delivery and no support in the end. #dontinstall #farzi #wasteoftime #cheater,"Hi there, we would like to make this 1 star to a 5 star experience for you, kindly write to swiggysocial@swiggy.in regarding the issues you have faced so that we can look into it right away.",11 April 2025,"('N/A', 'N/A')"
Gopal Neupane,5,11 April 2025,Fast,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",11 April 2025,"('N/A', 'N/A')"
Harman Singh,1,11 April 2025,"a food ""delivery"" app that doesn't have delivery partners available when you order resulting in order getting delayed by hours or canceled with no proper solution, better to order directly from restraunts as its cheaper and better even if you pay the delivery fees. it was good at first but since a few months it has been beyond frustrating and useless now, the customer support is also a total waste of resources.","Hi, we are sorry about the sub-par experience you had faced while ordering with us. Please write to us at swiggysocial@swiggy.in along with the order ID, so we can assist you better.",11 April 2025,"('N/A', 'N/A')"
Deora Dharm,1,11 April 2025,Swiggy is now new fraud App. it allows you to apply discount coupon but as you process for online payment it will remove coupon and changes price and for order cancellation it charges 100 percentage cancellation charges,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services.",11 April 2025,"('N/A', 'N/A')"
Spicy Tech,1,11 April 2025,I had ordered at 2 am and I was waiting for the order but when the delivery partner reached in my location at 3: 24 am the app showed me orderhas been delivered and I have paid online and my amount got stucked then I tried to contact the customer care but after some conversations customer care try to avoid me now they are not responding,"Hi, we are sorry about the sub-par experience you had faced while ordering with us. Please write to us at swiggysocial@swiggy.in along with the order ID, so we can assist you better.",11 April 2025,"('N/A', 'N/A')"
Ankit Singh,1,11 April 2025,"Delivery Partner of Swiggy and also Swiggy Are Too much fraud The cancellation option did not come within 60 seconds, then I asked for it and the delivery boy said sir your money will be refunded, you can cancel it if you don't want it, then I cancelled it and I was also charged the cancellation charge, I made the payment from my simple account and now I have deleted the Swiggy app, this is a useless platform","Hey there, we are sorry for the unpleasant experience you had. Please share more details about the incident by writing an email at swiggysocial@swiggy.in from your registered email ID. we'll take it up.",11 April 2025,"('N/A', 'N/A')"
Pintu Sheikh,5,11 April 2025,thank,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",11 April 2025,"('N/A', 'N/A')"
Jeswin Shibu,5,11 April 2025,fastest delivery,Yay! We are super happy to know that you are enjoying our services. Thanks for taking the time out and sharing the review with a perfect star rating. Keep Ordering. 🙂,11 April 2025,"('N/A', 'N/A')"
Akash Darjee,5,11 April 2025,fast delivery,We are happy to hear such positive feedback. 🙂,11 April 2025,"('N/A', 'N/A')"
Chama Prathvi,1,11 April 2025,"this app is a scam, which shows us one product and delivers or not deliveres the product after payment is completed","Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",11 April 2025,"('N/A', 'N/A')"
Idab Khan,1,11 April 2025,good,"Hi, please let us know how we can make our service better by writing to us at swiggysocial@swiggy.in from your registered email address.",11 April 2025,"('N/A', 'N/A')"
Sumit Chauhan,1,11 April 2025,poor 🤮,"Hi, we are sorry about the below-par experience with your order. Please write to us at swiggysocial@swiggy.in along with the order ID, so we can assist you better.",11 April 2025,"('N/A', 'N/A')"
Nanda Kevat,1,11 April 2025,Zomato is the best,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",11 April 2025,"('N/A', 'N/A')"
Shiv Ansh,1,11 April 2025,food not delivered and no one is there for help. 2 days gone but no respond. they say email us but over there no reply at all. not good app and not giving back the paid money,"Hey there, we are sorry for the unpleasant experience you had. Please share more details about the incident by writing an email at swiggysocial@swiggy.in from your registered email ID. we'll take it up.",11 April 2025,"('N/A', 'N/A')"
Diganta Jani,5,11 April 2025,great delevery,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",11 April 2025,"('N/A', 'N/A')"
Nayan Prajapati,5,11 April 2025,come fast brother,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",11 April 2025,"('N/A', 'N/A')"
