Username,Rating,Date,Review,Reply,Reply Date,Usefulness,Reply_Time_Days,Sentiment_Score,Sentiment,Tokens,UI_Issue,Performance_Issue,Feature_Request,Support_Complaint,Pricing_Complaint,delivery_issues,Payment_Problems,Food_Quality,Promotions_Issues
INDRESH PANDEY,5,2025-04-12,excellent,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,2025-04-12,0,0,0.5719,Positive,['excellent'],,,,,,,,,
PREMCHAND GIRI,5,2025-04-12,good ,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-04-12,0,0,0.4404,Positive,['good'],,,,,,,,good,
Rabi san Chakma,3,2025-04-12,nice app,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-04-12,0,0,0.4215,Positive,"['nice', 'app']",,,,,,,app,,
Junaid Alam,3,2025-04-12,good ,"We extend our gratitude for reviewing us. However, we do understand that there is room for improvement to achieve a 5-star from you. We look forward to hearing from you via mail addressed to swiggysocial@swiggy.in from your registered email address.",2025-04-12,0,0,0.4404,Positive,['good'],,,,,,,,good,
Anunaidu Gudivaka,1,2025-04-11,worest experience i ordered food from hai hotel from elurui received food the food was very salty unable to eat then iwas compained to the swiggy please replace the food i was decided to replace the item but swiggy dont respond finally the gave 16 rupees for 390rs item waste of money waste of time waste food i never ordered food from swiggy,We're disappointed to know the service has not been to your satisfaction. Kindly write to us at swiggysocial@swiggy.in from your registered email address and we'll have this addressed,2025-04-11,0,0,-0.8873,Negative,"['worest', 'experience', 'ordered', 'food', 'hai', 'hotel', 'elurui', 'received', 'food', 'food', 'salty', 'unable', 'eat', 'iwas', 'compained', 'swiggy', 'please', 'replace', 'food', 'decided', 'replace', 'item', 'swiggy', 'dont', 'respond', 'finally', 'gave', 'rupees', 'item', 'waste', 'money', 'waste', 'time', 'waste', 'food', 'never', 'ordered', 'food', 'swiggy']",time,time,please,"waste, waste, time, waste, never",,"time, never","unable, money","food, food, food, food, item, item, food, food","received, item, item"
Ajay Patidar,1,2025-04-11,cant give zero star else would have been given zero the delivery app doesnt even bother to deliver right food to the customer and when spilled food come they juat say we didnt said you to order dont install they are cheaters  no responsibility what so ever for spikled food delivery and no support in the end dontinstall farzi wasteoftime cheater,"Hi there, we would like to make this 1 star to a 5 star experience for you, kindly write to swiggysocial@swiggy.in regarding the issues you have faced so that we can look into it right away.",2025-04-11,0,0,-0.7239,Negative,"['cant', 'give', 'zero', 'star', 'else', 'would', 'given', 'zero', 'delivery', 'app', 'doesnt', 'even', 'bother', 'deliver', 'right', 'food', 'customer', 'spilled', 'food', 'come', 'juat', 'say', 'didnt', 'said', 'order', 'dont', 'install', 'cheaters', 'responsibility', 'ever', 'spikled', 'food', 'delivery', 'support', 'end', 'dontinstall', 'farzi', 'wasteoftime', 'cheater']",,,would,,,"else, delivery, order, delivery",app,"food, food, order, food","delivery, delivery"
Gopal Neupane,5,2025-04-11,fast,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-04-11,0,0,0.0,Neutral,['fast'],,,,,,,,,
Harman Singh,1,2025-04-11,a food delivery app that doesnt have delivery partners available when you order resulting in order getting delayed by hours or canceled with no proper solution better to order directly from restraunts as its cheaper and better even if you pay the delivery fees it was good at first but since a few months it has been beyond frustrating and useless now the customer support is also a total waste of resources,"Hi, we are sorry about the sub-par experience you had faced while ordering with us. Please write to us at swiggysocial@swiggy.in along with the order ID, so we can assist you better.",2025-04-11,0,0,-0.6652,Negative,"['food', 'delivery', 'app', 'doesnt', 'delivery', 'partners', 'available', 'order', 'resulting', 'order', 'getting', 'delayed', 'hours', 'canceled', 'proper', 'solution', 'better', 'order', 'directly', 'restraunts', 'cheaper', 'better', 'even', 'pay', 'delivery', 'fees', 'good', 'first', 'since', 'months', 'beyond', 'frustrating', 'useless', 'customer', 'support', 'also', 'total', 'waste', 'resources']","frustrating, useless",,,"delayed, solution, useless, waste",cheaper,"delivery, delivery, order, order, delayed, order, delivery","app, pay","food, order, order, order, good","delivery, delivery, delivery"
Deora Dharm,1,2025-04-11,swiggy is now new fraud app it allows you to apply discount coupon but as you process for online payment it will remove coupon and changes price and for order cancellation it charges 100 percentage cancellation charges,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services.",2025-04-11,0,0,-0.7717,Negative,"['swiggy', 'new', 'fraud', 'app', 'allows', 'apply', 'discount', 'coupon', 'process', 'online', 'payment', 'remove', 'coupon', 'changes', 'price', 'order', 'cancellation', 'charges', 'percentage', 'cancellation', 'charges']",process,,,,price,order,"app, payment",order,"apply, discount, coupon, coupon"
Spicy Tech,1,2025-04-11,i had ordered at 2 am and i was waiting for the order but when the delivery partner reached in my location at 3 24 am the app showed me orderhas been delivered and i have paid online and my amount got stucked then i tried to contact the customer care but after some conversations customer care try to avoid me now they are not responding,"Hi, we are sorry about the sub-par experience you had faced while ordering with us. Please write to us at swiggysocial@swiggy.in along with the order ID, so we can assist you better.",2025-04-11,0,0,0.8126,Positive,"['ordered', 'waiting', 'order', 'delivery', 'partner', 'reached', 'location', 'app', 'showed', 'orderhas', 'delivered', 'paid', 'online', 'amount', 'got', 'stucked', 'tried', 'contact', 'customer', 'care', 'conversations', 'customer', 'care', 'try', 'avoid', 'responding']",,responding,,,,"waiting, order, delivery, delivered, got","app, amount",order,delivery
Ankit Singh,1,2025-04-11,delivery partner of swiggy and also swiggy are too much fraud the cancellation option did not come within 60 seconds then i asked for it and the delivery boy said sir your money will be refunded you can cancel it if you dont want it then i cancelled it and i was also charged the cancellation charge i made the payment from my simple account and now i have deleted the swiggy app this is a useless platform,"Hey there, we are sorry for the unpleasant experience you had. Please share more details about the incident by writing an email at swiggysocial@swiggy.in from your registered email ID. we'll take it up.",2025-04-11,0,0,-0.8915,Negative,"['delivery', 'partner', 'swiggy', 'also', 'swiggy', 'much', 'fraud', 'cancellation', 'option', 'come', 'within', 'seconds', 'asked', 'delivery', 'boy', 'said', 'sir', 'money', 'refunded', 'cancel', 'dont', 'want', 'cancelled', 'also', 'charged', 'cancellation', 'charge', 'made', 'payment', 'simple', 'account', 'deleted', 'swiggy', 'app', 'useless', 'platform']",useless,,want,useless,much,"delivery, delivery","money, refunded, charged, charge, payment, app",,"delivery, delivery"
Pintu Sheikh,5,2025-04-11,thank,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",2025-04-11,0,0,0.3612,Positive,['thank'],,,,,,,,,
Jeswin Shibu,5,2025-04-11,fastest delivery,Yay! We are super happy to know that you are enjoying our services. Thanks for taking the time out and sharing the review with a perfect star rating. Keep Ordering. 🙂,2025-04-11,0,0,0.0,Neutral,"['fastest', 'delivery']",,,,,,delivery,,,delivery
Akash Darjee,5,2025-04-11,fast delivery,We are happy to hear such positive feedback. 🙂,2025-04-11,0,0,0.0,Neutral,"['fast', 'delivery']",,,,,,delivery,,,delivery
Chama Prathvi,1,2025-04-11,this app is a scam which shows us one product and delivers or not deliveres the product after payment is completed,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",2025-04-11,0,0,-0.5719,Negative,"['app', 'scam', 'shows', 'us', 'one', 'product', 'delivers', 'deliveres', 'product', 'payment', 'completed']",,,,,,,"app, payment",,
Idab Khan,1,2025-04-11,good,"Hi, please let us know how we can make our service better by writing to us at swiggysocial@swiggy.in from your registered email address.",2025-04-11,0,0,0.4404,Positive,['good'],,,,,,,,good,
Sumit Chauhan,1,2025-04-11,poor ,"Hi, we are sorry about the below-par experience with your order. Please write to us at swiggysocial@swiggy.in along with the order ID, so we can assist you better.",2025-04-11,0,0,-0.4767,Negative,['poor'],poor,,,,,,,poor,
Nanda Kevat,1,2025-04-11,zomato is the best,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",2025-04-11,0,0,0.6369,Positive,"['zomato', 'best']",,,,,,,,,
Shiv Ansh,1,2025-04-11,food not delivered and no one is there for help 2 days gone but no respond they say email us but over there no reply at all not good app and not giving back the paid money,"Hey there, we are sorry for the unpleasant experience you had. Please share more details about the incident by writing an email at swiggysocial@swiggy.in from your registered email ID. we'll take it up.",2025-04-11,0,0,0.0759,Positive,"['food', 'delivered', 'one', 'help', 'days', 'gone', 'respond', 'say', 'email', 'us', 'reply', 'good', 'app', 'giving', 'back', 'paid', 'money']",,,,"help, days, reply",,delivered,"app, money","food, good",
Diganta Jani,5,2025-04-11,great delevery,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",2025-04-11,0,0,0.6249,Positive,"['great', 'delevery']",,,great,,,,,,
Nayan Prajapati,5,2025-04-11,come fast brother,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-04-11,0,0,0.0,Neutral,"['come', 'fast', 'brother']",,,,,,,,,
Hardik Gulati,1,2025-04-11,swiggy has such a bad automation that i cannot reach the customer care when my order got delayed by more than 90 mins now that i waited for 90 mins to get my order to see that the order itself is cancelled swiggy such a shame,"We're apologetic about this experience you've faced while ordering with us. Please write to us at swiggysocial@swiggy.in from your registered email address detailing your experience, so we can look into the issue and resolve it for you.",2025-04-11,0,0,-0.7487,Negative,"['swiggy', 'bad', 'automation', 'reach', 'customer', 'care', 'order', 'got', 'delayed', 'mins', 'waited', 'mins', 'get', 'order', 'see', 'order', 'cancelled', 'swiggy', 'shame']",bad,,"get, see",delayed,,"order, got, delayed, order, order",get,"bad, order, order, order",get
preeti josi,1,2025-04-11,your delivery is very worst services,We're disappointed to know the service has not been to your satisfaction. Kindly write to us at swiggysocial@swiggy.in from your registered email address and we'll have this addressed.,2025-04-11,0,0,-0.659,Negative,"['delivery', 'worst', 'services']",,,,,,delivery,,,delivery
I’m Alen,1,2025-04-11,scammers,"Hello, we're sorry for the unpleasant experience. Please share your concern along with your order details via email at swiggysocial@swiggy.in so that we will look into this & assist you better.",2025-04-11,0,0,0.0,Neutral,['scammers'],,,,,,,,,
Ashutosh Singh,1,2025-04-11,they have such poor delivery agents that my order gets delayed by hours pathetic and im their customer since 2018 uninstalling,"We're apologetic about this experience you've faced while ordering with us. Please write to us at swiggysocial@swiggy.in from your registered email address detailing your experience, so we can look into the issue and resolve it for you.",2025-04-11,0,0,-0.8271,Negative,"['poor', 'delivery', 'agents', 'order', 'gets', 'delayed', 'hours', 'pathetic', 'im', 'customer', 'since', 'uninstalling']",poor,,im,delayed,,"delivery, order, delayed",,"poor, order",delivery
Ravi Teja,1,2025-04-11,not getting second order cash and delivery,"Hey, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed.",2025-04-11,0,0,0.0,Neutral,"['getting', 'second', 'order', 'cash', 'delivery']",,,,,,"order, delivery",,order,delivery
Israel Agba,5,2025-04-11,beautiful,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",2025-04-11,0,0,0.5994,Positive,['beautiful'],,,,,,,,,
Ganesh Paila,1,2025-04-11,very bad coustomer support really i didnt expect this from swiggy i order food at midnight which is fully rotten and poor quality  after raising issue the coustomer support team response is very poor they take two hours of my time and giving same answer from staring to ending very poor service i dont recommend this app to order food,"Hey, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed.",2025-04-11,0,0,-0.9054,Negative,"['bad', 'coustomer', 'support', 'really', 'didnt', 'expect', 'swiggy', 'order', 'food', 'midnight', 'fully', 'rotten', 'poor', 'quality', 'raising', 'issue', 'coustomer', 'support', 'team', 'response', 'poor', 'take', 'two', 'hours', 'time', 'giving', 'answer', 'staring', 'ending', 'poor', 'service', 'dont', 'recommend', 'app', 'order', 'food']","bad, poor, issue, poor, time, poor",time,recommend,"response, time, answer",,"order, issue, time, order","issue, app","bad, order, food, rotten, poor, quality, issue, poor, poor, order, food",issue
Arahad Khan,5,2025-04-11,osm ha,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-04-11,0,0,0.34,Positive,"['osm', 'ha']",,,,,,,,,
narendra raja shankar,5,2025-04-11,resolved the issue after a long wait thank you,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",2025-04-11,0,0,0.4939,Positive,"['resolved', 'issue', 'long', 'wait', 'thank']",issue,,,"long, wait",,"issue, long",issue,issue,issue
Vishal,1,2025-04-11,cant reach out to live support,We're disappointed to know the service has not been to your satisfaction. Kindly write to us at swiggysocial@swiggy.in from your registered email address and we'll have this addressed,2025-04-11,0,0,0.3871,Positive,"['cant', 'reach', 'live', 'support']",,,,,,,,,
Mohit Kannaujiya,5,2025-04-11,thanks swiggy,"Hello, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 😊",2025-04-11,0,0,0.4404,Positive,"['thanks', 'swiggy']",,,,,,,,,
Ajay Kumar,1,2025-04-11,order was cancelled after 1 hour you cant trust on swiggy if they are not able to delivered it can be cancelled much earlier so i can arrange the food from other apps if you want ontime delivery please choose zomato,"Hey there, that should not have happened and we would like to get this checked right away. Kindly help us with your order ID over an email to swiggysocial@swiggy.in, it will help us take this up with our executives and work on corrective measures.",2025-04-11,0,0,-0.477,Negative,"['order', 'cancelled', 'hour', 'cant', 'trust', 'swiggy', 'able', 'delivered', 'cancelled', 'much', 'earlier', 'arrange', 'food', 'apps', 'want', 'ontime', 'delivery', 'please', 'choose', 'zomato']",,,"want, please",,much,"order, delivered, delivery",,"order, food",delivery
Michael Michael,1,2025-04-11,my order 249rs but swiggy bill amount 360rs,"Hi Michael, we are disappointed to know about your experience with us. Kindly write to us at swiggysocial@swiggy.in with the issue so that we can check and assist you.",2025-04-11,0,0,0.0,Neutral,"['order', 'swiggy', 'bill', 'amount']",,,,,,order,amount,order,
Gulshan Patel,1,2025-04-11,worst experience,"Hey there, we would like to get this checked to see what went wrong. Kindly help us with your registered details at swiggysocial@swiggy.in and we will do what it takes to turn this around!",2025-04-11,0,0,-0.6249,Negative,"['worst', 'experience']",,,,,,,,,
Ayush Chauhan,5,2025-04-11,very nice ,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-04-11,0,0,0.4754,Positive,['nice'],,,,,,,,,
Sounak Chakraborty,1,2025-04-11,swiggy is providing a terrible customer experience these days orders are always late on top of that theyve removed the human chat support if you raise a complaint related to order delay a bot will give you an estimated delivery time and the contact number of the delivery personnel nobodys taking accountability or trying to assist the customer here pathetic,"Hey there, we would like to get this checked to see what went wrong. Kindly help us with your registered details at swiggysocial@swiggy.in and we will do what it takes to turn this around!",2025-04-11,0,0,-0.7579,Negative,"['swiggy', 'providing', 'terrible', 'customer', 'experience', 'days', 'orders', 'always', 'late', 'top', 'theyve', 'removed', 'human', 'chat', 'support', 'raise', 'complaint', 'related', 'order', 'delay', 'bot', 'give', 'estimated', 'delivery', 'time', 'contact', 'number', 'delivery', 'personnel', 'nobodys', 'taking', 'accountability', 'trying', 'assist', 'customer', 'pathetic']","delay, time","delay, time",trying,"days, late, delay, time, assist",,"late, order, delay, delivery, time, delivery",delay,order,"delivery, delivery"
mohiddin shaikh,1,2025-04-11,need to work with instamart orders majority times they dont have the products which they mention in app as available,"Hi, we are sorry about this. Please help us with the order id over an email at swiggysocial@swiggy.in, so we can help resolve the issue.",2025-04-11,0,0,0.0,Neutral,"['need', 'work', 'instamart', 'orders', 'majority', 'times', 'dont', 'products', 'mention', 'app', 'available']",,,need,,,,app,,work
abhishek rustagi,1,2025-04-11,pathetic experience with swiggy absolutely no quality checks in place received broken items and to make matters worse their customer care is equally disappointing no one takes responsibility and theres zero effort to resolve the issue or even follow up overall swiggy shows zero work ethic and credibility suggestion avoid using swiggy if you care about your,"Hey there, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed.",2025-04-11,0,0,-0.8803,Negative,"['pathetic', 'experience', 'swiggy', 'absolutely', 'quality', 'checks', 'place', 'received', 'broken', 'items', 'make', 'matters', 'worse', 'customer', 'care', 'equally', 'disappointing', 'one', 'takes', 'responsibility', 'theres', 'zero', 'effort', 'resolve', 'issue', 'even', 'follow', 'overall', 'swiggy', 'shows', 'zero', 'work', 'ethic', 'credibility', 'suggestion', 'avoid', 'using', 'swiggy', 'care']","broken, disappointing, issue",,,resolve,,issue,issue,"quality, items, issue","received, issue, work"
Manoj Kumar,5,2025-04-11,good service,"Hello, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 😊",2025-04-11,0,0,0.4404,Positive,"['good', 'service']",,,,,,,,good,
Vijay Arya,5,2025-04-11,nice,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,2025-04-11,0,0,0.4215,Positive,['nice'],,,,,,,,,
Jadu,2,2025-04-11,no icon for order cancellation in the app,"Hi, please let us know how we can make our service better by writing to us at swiggysocial@swiggy.in from your registered email address.",2025-04-11,0,0,-0.296,Negative,"['icon', 'order', 'cancellation', 'app']",,,,,,order,app,order,
Sravan Kumar,5,2025-04-11,nice,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,2025-04-11,0,0,0.4215,Positive,['nice'],,,,,,,,,
