Username,Rating,Date,Review,Reply,Reply Date,Usefulness
Abdul Wahab,5,10 April 2025,super service,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",10 April 2025,"('N/A', 'N/A')"
brijesh pandey,4,10 April 2025,bahut Acha,"Hi, thank you for delighting us with the positive review. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our service worth 5 stars.",10 April 2025,"('N/A', 'N/A')"
Gulshan Kumar,1,10 April 2025,instant not cancel this for this app,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",10 April 2025,"('N/A', 'N/A')"
Rahim Chakma,5,10 April 2025,nice,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,10 April 2025,"('N/A', 'N/A')"
Razik Shazikh,5,10 April 2025,nice,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",10 April 2025,"('N/A', 'N/A')"
Bhagya S,1,10 April 2025,😭 🤓hoo,"Hey, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed.",10 April 2025,"('N/A', 'N/A')"
Israfil Tarafdar,1,10 April 2025,👎👎👎👎👎👎👎,"Hello, we're sorry for the unpleasant experience. Please share your concern along with your order details via email at swiggysocial@swiggy.in so that we will look into this & assist you better.",10 April 2025,"('N/A', 'N/A')"
Sanju Gulati,4,10 April 2025,good👍👍👍,"Hello, thank you for the positive review. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",10 April 2025,"('N/A', 'N/A')"
Mandar Suryawanshi,1,10 April 2025,real time map experience of rider and actual rider location unmatched,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services.",10 April 2025,"('N/A', 'N/A')"
SANJAY BHARATHI B,5,10 April 2025,good,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",10 April 2025,"('N/A', 'N/A')"
Shruti Waghmare,5,10 April 2025,delicious food 💗😭🥳🫂,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,10 April 2025,"('N/A', 'N/A')"
Sushant,5,10 April 2025,instamart is gud,"Thanks for the love, Sushant 💚",10 April 2025,"('N/A', 'N/A')"
Varun Mittal,5,10 April 2025,❤️,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",10 April 2025,"('N/A', 'N/A')"
Mayank Yadav,1,10 April 2025,Cheats,"Hi, we are sorry about the below-par experience with your order. Please write to us at swiggysocial@swiggy.in along with the order ID, so we can assist you better.",10 April 2025,"('N/A', 'N/A')"
Phoenix thorm,1,10 April 2025,cancelled my Instamart order after making me wait for 30 minutes . you don't have right to cancel if it is out for delivery . wish could have given you negative star,"Hey, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed.",10 April 2025,"('N/A', 'N/A')"
Darshit Shahu,1,10 April 2025,faltu service je sab kam nhi karna hota to order late kyu mene apna order kiya 2 hours ho gaye and restaurant badha ho gayi tabhi mera order nhi ise acha to Zomoto he. kam nhi karna ho to oder mat lo aur ghar par betho faltu service bakwaas swiggy application,This shouldn't have happened. Kindly help us with the order ID along with the details of the issue by writing to us at swiggysocial@swiggy.in from your registered email ID & we will have this checked.,10 April 2025,"('N/A', 'N/A')"
Palla Praveen16-340,5,10 April 2025,good,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",10 April 2025,"('N/A', 'N/A')"
SYED ALI,1,10 April 2025,Worst customer service. Zomato is best,"Hey there, we apologize for the inconvenience caused. We request you to kindly let us know more about the issue by writing to us at swiggysocial@swiggy.in from your registered email address, so we can look into it and have it fixed at the earliest.",10 April 2025,"('N/A', 'N/A')"
ruchi yelve,5,10 April 2025,good app,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",10 April 2025,"('N/A', 'N/A')"
Vinit Gupta,1,10 April 2025,it's a bad to order food because the timing show in app does not real i just irritate to this aap i have ordered food the expected time is 45min they the order delivered in 1hr 30min later 🤬,"Hi Vinit, we are disappointed to know about your experience with us. Kindly write to us at swiggysocial@swiggy.in with the issue so that we can check and assist you.",10 April 2025,"('N/A', 'N/A')"
Ranjith kumar,5,10 April 2025,happy,"Thanks for the love, Ranjith :)",10 April 2025,"('N/A', 'N/A')"
madhu babu,1,10 April 2025,"every time receiving order very late,","Hi, we are sorry about the sub-par experience you had faced while ordering with us. Please write to us at swiggysocial@swiggy.in along with the order ID, so we can assist you better.",10 April 2025,"('N/A', 'N/A')"
khan mohd,5,10 April 2025,hungry tummy anytime anywhere Swiggy is here,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",10 April 2025,"('N/A', 'N/A')"
Leel Bisandre,4,10 April 2025,nice,"Hey, thanks for the rating! This motivates us to keep serving you better with every order. We would love to hear from you about how we could hit the 5-star rating. Please do share your thoughts by dropping an email at swiggysocial@swiggy.in.",10 April 2025,"('N/A', 'N/A')"
katta sai tharun,1,10 April 2025,I have membership though the Swiggy adds the delivery charges,"Hey there, we would like to inform you that the delivery fee is levied for the services rendered to ensure seamless delivery. Please share your registered details or the order ID by writing to us at swiggysocial@swiggy.in and we would be happy to connect with you post having it checked",10 April 2025,"('N/A', 'N/A')"
AVIRAJ UGALE,1,10 April 2025,very pathetic service from call centre and vendors on Swiggy. 1st after receiving my order the restaurant cancelled and when I placed at other restaurants it has delivered word food ever. not recommended at all,"Hey there, we would like to get this checked to see what went wrong. Kindly help us with your registered details at swiggysocial@swiggy.in and we will do what it takes to turn this around!",10 April 2025,"('N/A', 'N/A')"
Afsana Haadi,1,10 April 2025,many times I received a bad quality item. and don't get a refund.,"Hello, we're sorry for the unpleasant experience. Please share your concern along with your order details via email at swiggysocial@swiggy.in so that we will look into this & assist you better.",10 April 2025,"('N/A', 'N/A')"
Hardik Makwana,5,10 April 2025,thank you Swiggy 🪬🥂,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",10 April 2025,"('N/A', 'N/A')"
Jaydeepjd Parmar,5,10 April 2025,Great offer & Bhai Zomato se to Badiya hai,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,10 April 2025,"('N/A', 'N/A')"
Sneha nandeshwar,5,10 April 2025,good,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,10 April 2025,"('N/A', 'N/A')"
Sagar kumar Sahoo,5,10 April 2025,Swiggy Just WOW. But More Cost effective more Better.,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,10 April 2025,"('N/A', 'N/A')"
Tarun Malviya,1,10 April 2025,worst customer service,"Hi, we are sorry about the sub-par experience you had faced while ordering with us. Please write to us at swiggysocial@swiggy.in along with the order ID, so we can assist you better.",10 April 2025,1 person found this review helpful
Mohmmad Aslam,5,10 April 2025,i am happy 😚,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",10 April 2025,"('N/A', 'N/A')"
Virat Kohli,1,10 April 2025,pathetic waste of time,"Hello, we're sorry for the unpleasant experience. Please share your concern along with your order details via email at swiggysocial@swiggy.in so that we will look into this & assist you better.",10 April 2025,"('N/A', 'N/A')"
Death Gamer AA,1,10 April 2025,no on the time,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",10 April 2025,"('N/A', 'N/A')"
shafik Sha7939,5,10 April 2025,Nice,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",10 April 2025,"('N/A', 'N/A')"
Raju Giri,1,10 April 2025,don't use Instamart they always send less items in your order,"Hi, we are sorry about this. Please help us with the order id over an email at swiggysocial@swiggy.in, so we can help resolve the issue.",10 April 2025,"('N/A', 'N/A')"
MR_SANDEEP MR,5,10 April 2025,few fast material,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",10 April 2025,"('N/A', 'N/A')"
saad qader,1,10 April 2025,wordt service,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",10 April 2025,"('N/A', 'N/A')"
Mr gaurav,5,10 April 2025,ok hai,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",10 April 2025,"('N/A', 'N/A')"
Rupak Gouda,5,10 April 2025,good,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,10 April 2025,"('N/A', 'N/A')"
spectra engineering,1,10 April 2025,worst consumer services in india,"Hi, we are sorry about the below-par experience with your order. Please write to us at swiggysocial@swiggy.in along with the order ID, so we can assist you better.",10 April 2025,"('N/A', 'N/A')"
Prateek Mishra,5,10 April 2025,good choice 😚,"Thanks for the love, Prateek 😍",10 April 2025,"('N/A', 'N/A')"
Sriram,1,10 April 2025,"the worst experience in my life till now with swiggy.. i ordered one and half hour ago, but still showing delivery will be coming in 7 mins.. it's been two hours waiting. the worst experience","Hi Sriram, we would like to make this 1 star to a 5 star experience for you, kindly write to swiggysocial@swiggy.in regarding the issues you have faced so that we can look into it right away.",10 April 2025,"('N/A', 'N/A')"
Ghost rider,1,10 April 2025,just like sarkaari.,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",10 April 2025,"('N/A', 'N/A')"
Tanmay Biswas,2,10 April 2025,nice app,"Hello, we would like to know more about it. Please write to us at swiggysocial@swiggy.in with relevant details elaborating further on your ordering experience with us, so we can set this right for you.",10 April 2025,"('N/A', 'N/A')"
