Username,Rating,Date,Review,Usefulness,Reply,Reply Date
MRS.RUTH PAUL,1,20 April 2024,"Horrible app. Firstly their tracking system is almost non-existent; they don't show you the tracking of the order it just shows ""order in process"" and then randomly one day the order will get delivered. That's not even the end of it. I ordered 3 products from them in their sale, paid for the 3 products and got only 2. Ive written emails to them multiple times with evidence and their logic was since there is no evidence of a damaged outer packaging, the order has been delivered. So disappointing",81 people found this review helpful,Kult E-commerce,22 April 2024
R C,4,13 April 2024,"Recently recieved my first ever purchase from them and the packaging was so cute!! My products came in a very fancy looking purple box that closes with a magnet!!! It felt like immense thought was put into making my experience worthwhile, and it was. On top of the mindblowing discount, I also received a freebie! I would purchase from Kult again and again. The only problem now is that every single item on my wishlist is OOF. There's a select products available on the website now :( Help!!",13 people found this review helpful,Kult E-commerce,15 April 2024
Riya Blue,1,9 January 2025,"So bad I've been trying to open the app for two days but I'm just never getting the otp, despite the number and everything being correct, i tried multiple times even with my mom's number just to be sure it's not my phone but yeah the app is problematic",1 person found this review helpful,N/A,N/A
nirmala isabel,1,27 August 2024,"Unfortunately turned out to be scam company. Did not ship orders for over a month, citing ""technical difficulties""...and the cancelled it from their end citing""new software"" or something....and then never gave the refund. I wish there was an option to give negative stars or atleast zero...this doesn't even deserve one star.",11 people found this review helpful,N/A,N/A
Prakriti Singh,1,24 August 2024,"Theives. I've shopped for 25k+, and have had seamless experience before. But now, they're giving away USED PRODUCTS in the name of discount. On opening Schwarzkopf hair colour, the applicator bottle tip was already broken and the bottle had 1/4th content. Threw it away! On the second occasion, they still haven't processed my refund. It's been 30 days, and they keep giving me RRN number, and asking me to get a letter from the bank. SCAMMERS. Keep my money you beggars.",6 people found this review helpful,N/A,N/A
Athira aathuzz,1,23 July 2024,Such a horrible app it is I placed my order on 17th and till now ai don't have any updates regarding my order and their app is crashed now and can't check the tracking... I called them multiple times to raise this issue and they r like the product is dispatched from our side... What kind of response is this... This app only provides prepaid order and doing fraud things... I hope people understand this and raise a voice to remove this fraud app from playstore..,9 people found this review helpful,Kult E-commerce,29 July 2024
Bisma Salam,2,22 May 2024,I've seen many peoples giving good opinion about this app That's why I download it and check it but most of the products I was looking for was not available on it like rom&nd juicy lip gloss and I see someone talking about cosrx... But when I search for it there isn't any brand shown named as cosrx😹😹 and most of the products are out of stock and most heartbreaking is when I applied any codes there's no cash on delivery option... That's so impartiality...i hope you'll find any solution for it.,10 people found this review helpful,Kult E-commerce,3 June 2024
Neeta Arur,5,11 June 2024,It is an amazing application. I am extremely happy with my purchase. They have such a cute packaging. No other platform gives such an amazing packaging. Please restock. People are waiting to buy more from Kult. Give us opportunity to make new purchases. I am certain that I am going to make more purchases from Kult. Above all the customer support team is extremely helpful 👏 👍,7 people found this review helpful,Kult E-commerce,11 June 2024
Nisha Behrani,5,25 June 2024,"Beauty Kult stands out with its comprehensive product reviews and beauty tips. The community feedback is incredibly helpful, and the app's layout makes it easy to find what I'm looking for. It's become an essential part of my daily routine.",N/A,Kult E-commerce,9 July 2024
Shubham Khemka,5,13 June 2024,"I've been using the Kult app for a few months now, and it has quickly become my go-to for all things beauty and skincare. The app is incredibly user-friendly and beautifully designed, making it easy to navigate through the vast selection of products.",N/A,Kult E-commerce,15 June 2024
